MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
175-6-220P,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Pad Gray 18.00mm x 12.70mm Rectangular,0.5W/m-K,"0.0060"" (0.152mm)",,,23.0
173-9-230P,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Pad Gray 19.10mm x 12.70mm Rectangular,1.2W/m-K,"0.0090"" (0.229mm)",,,23.94
V-1100-SMD/B,Assmann WSW Components,"Fans, Blowers, Thermal Management",Heat Sink TO-252 (DPak) Copper Top Mount,,"0.390"" (9.91mm)","0.790"" (20.07mm)","0.320"" (8.13mm)",24.57
TPA2006D1DRBR,Texas Instruments,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 8-SON (3x3),,,3 mm,3 mm,25.52
HF115AC-0.0055-AC-90,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 21.84mm x 18.79mm Rectangular Adhesive - One Side,0.8W/m-K,"0.0055"" (0.140mm)",,,25.52
TPA6205A1DRBR,Texas Instruments,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class AB 8-SON (3x3),,,3 mm,3 mm,26.15
THJP0612AST1,Vishay Dale Thin Film,"Fans, Blowers, Thermal Management",Thermal Pad 1.06mm x 3.20mm Rectangular,259W/m-K,"0.0300"" (0.762mm)",,,26.15
53-77-4ACG,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management","Thermal Pad Gray, Green 19.05mm x 12.70mm Rectangular Adhesive - One Side",0.9W/m-K,"0.0060"" (0.152mm)",,,26.46
SP400-0.009-00-09,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 9.14mm Dia Round,0.9W/m-K,"0.0090"" (0.229mm)",,,28.67
173-7-240A,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Pad Gray 19.10mm x 12.70mm Rectangular Adhesive - One Side,1.2W/m-K,"0.0070"" (0.178mm)",,,28.67
43-77-9G,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Thermal Pad Amber 18.42mm x 13.21mm Rectangular,-,"0.0020"" (0.051mm)",,,29.93
TG-APC93-20-20-2.0-0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 20.00mm x 20.00mm Square,2.0W/m-K,"0.0790"" (2.000mm)",,,30.56
TG-A3500-25-25-3.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 25.00mm x 25.00mm Square Tacky - Both Sides,3.5W/m-K,"0.118"" (3.00mm)",,,32.45
53-77-9ACG,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management","Thermal Pad Gray, Green 18.42mm x 13.21mm Rectangular Adhesive - One Side",0.9W/m-K,"0.0060"" (0.152mm)",,,32.76
TPA2005D1DRBR,Texas Instruments,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 8-SON (3x3),,,3 mm,3 mm,33.08
CD-02-05-247,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Pad Orange 24.13mm x 19.05mm Rectangular,-,"0.0030"" (0.076mm)",,,34.02
CD-02-05-220,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Pad Orange 17.78mm x 12.70mm Rectangular,-,"0.0030"" (0.076mm)",,,34.02
"SE97BTP,547",NXP USA Inc.,Integrated Circuits (ICs),"Temp Monitoring System (Sensor), DIMM DDR Memory -40°C ~ 125°C Internal Sensor I2C/SMBus Output 8-HWSON (2x3)",,,2 mm,3 mm,36.54
MCP9844T-BE/MNY,Microchip Technology,Integrated Circuits (ICs),"Temp Monitoring System (Sensor) -40°C ~ 125°C Internal Sensor 2-Wire Serial, I2C Output 8-TDFN (2x3)",,,2 mm,3 mm,37.17
TPA6130A2RTJR,Texas Instruments,Integrated Circuits (ICs),"Amplifier IC Headphones, 2-Channel (Stereo) Class AB 20-QFN (4x4)",,,4 mm,4 mm,38.12
TG-A6200-20-20-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 20.00mm x 20.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0790"" (2.000mm)",,,38.12
CD-02-05-264,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Pad Orange 26.67mm x 21.59mm Rectangular,-,"0.0030"" (0.076mm)",,,40.01
TG-A1250-20-20-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 20.00mm x 20.00mm Square,12.5W/m-K,"0.0394"" (1.000mm)",,,40.01
8810SQ-15(10),3M (TC),"Fans, Blowers, Thermal Management",Thermal Pad White 15.00mm x 15.00mm Square Adhesive - Both Sides,0.6W/m-K,"0.0098"" (0.250mm)",,,40.64
MCP98244T-BE/MNY,Microchip Technology,Integrated Circuits (ICs),"Temp Monitoring System (Sensor), DIMM DDR Memory -40°C ~ 125°C Internal Sensor I2C Output 8-TDFN (2x3)",,,2 mm,3 mm,40.95
SP600-104,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Green 25.40mm x 19.05mm Rectangular,1.0W/m-K,"0.0090"" (0.229mm)",,,40.95
